Results,Entity,Line,Column,Check
"Number of Results: 238","","","",""
"serval-dna","","","",""
"audiodevices.c","","","",""
"Violation: getAudioPlayFd defined but not called.","getAudioPlayFd","42","4","Unused Functions"
"Violation: getAudioRecordFd defined but not called.","getAudioRecordFd","47","4","Unused Functions"
"Violation: getAudioBytes defined but not called.","getAudioBytes","54","4","Unused Functions"
"Violation: getAudioPlayFd defined but not called.","getAudioPlayFd","42","4","Unused Functions"
"Violation: getAudioRecordFd defined but not called.","getAudioRecordFd","47","4","Unused Functions"
"Violation: getAudioBytes defined but not called.","getAudioBytes","54","4","Unused Functions"
"ciphers.c","","","",""
"Unreachable Code","packetDecipher","48","0","Unreachable Code"
"Unreachable Code","packetEncipher","74","0","Unreachable Code"
"Violation: packetSetMySid defined but not called.","packetSetMySid","25","4","Unused Functions"
"Violation: packetGetPrivateKeyForSid defined but not called.","packetGetPrivateKeyForSid","33","4","Unused Functions"
"Violation: packetClearPrivateKeys defined but not called.","packetClearPrivateKeys","38","4","Unused Functions"
"Unreachable Code","packetDecipher","48","0","Unreachable Code"
"Unreachable Code","packetEncipher","74","0","Unreachable Code"
"Violation: packetSetMySid defined but not called.","packetSetMySid","25","4","Unused Functions"
"Violation: packetGetPrivateKeyForSid defined but not called.","packetGetPrivateKeyForSid","33","4","Unused Functions"
"Violation: packetClearPrivateKeys defined but not called.","packetClearPrivateKeys","38","4","Unused Functions"
"client.c","","","",""
"Else If with no following Else","packetSendRequest","129","6","Dangling Else"
"Violation: packetSendFollowup defined but not called.","packetSendFollowup","27","4","Unused Functions"
"Violation: packetSendFollowup defined but not called.","packetSendFollowup","27","4","Unused Functions"
"commandline.c","","","",""
"Else If with no following Else","app_rhizome_add_file","1116","2","Dangling Else"
"Violation: cli_putchar defined but not called.","cli_putchar","299","4","Unused Functions"
"Violation: cli_putchar defined but not called.","cli_putchar","299","4","Unused Functions"
"conf.c","","","",""
"Else If with no following Else","confSetDebugFlags","338","4","Dangling Else"
"dataformats.c","","","",""
"Else If with no following Else","stowSid","269","2","Dangling Else"
"Unreachable Code","packetGetID","299","0","Unreachable Code"
"Unreachable Code","is_uri_char_reserved","381","0","Unreachable Code"
"Violation: is_xsubstring defined but not called.","is_xsubstring","46","4","Unused Functions"
"Violation: is_xstring defined but not called.","is_xstring","55","4","Unused Functions"
"Violation: rhizome_strn_is_manifest_id defined but not called.","rhizome_strn_is_manifest_id","121","4","Unused Functions"
"Violation: rhizome_strn_is_bundle_key defined but not called.","rhizome_strn_is_bundle_key","131","4","Unused Functions"
"Violation: rhizome_strn_is_bundle_crypt_key defined but not called.","rhizome_strn_is_bundle_crypt_key","141","4","Unused Functions"
"Violation: rhizome_strn_is_file_hash defined but not called.","rhizome_strn_is_file_hash","151","4","Unused Functions"
"Unreachable Code","packetGetID","299","0","Unreachable Code"
"Unreachable Code","is_uri_char_reserved","381","0","Unreachable Code"
"Violation: is_xsubstring defined but not called.","is_xsubstring","46","4","Unused Functions"
"Violation: is_xstring defined but not called.","is_xstring","55","4","Unused Functions"
"Violation: rhizome_strn_is_manifest_id defined but not called.","rhizome_strn_is_manifest_id","121","4","Unused Functions"
"Violation: rhizome_strn_is_bundle_key defined but not called.","rhizome_strn_is_bundle_key","131","4","Unused Functions"
"Violation: rhizome_strn_is_bundle_crypt_key defined but not called.","rhizome_strn_is_bundle_crypt_key","141","4","Unused Functions"
"Violation: rhizome_strn_is_file_hash defined but not called.","rhizome_strn_is_file_hash","151","4","Unused Functions"
"dna_helper.c","","","",""
"Else If with no following Else","dna_helper_harvest","288","2","Dangling Else"
"Else If with no following Else","monitor_requests","346","6","Dangling Else"
"Else If with no following Else","monitor_requests","362","0","Dangling Else"
"Else If with no following Else","monitor_replies","476","4","Dangling Else"
"dna_identity.c","","","",""
"Violation: dnacache_lookup defined but not called.","dnacache_lookup","80","21","Unused Functions"
"Violation: dnacache_update_verification defined but not called.","dnacache_update_verification","164","4","Unused Functions"
"Violation: dnacache_vouch_for_identity defined but not called.","dnacache_vouch_for_identity","172","4","Unused Functions"
"Violation: dnacache_lookup defined but not called.","dnacache_lookup","80","21","Unused Functions"
"Violation: dnacache_update_verification defined but not called.","dnacache_update_verification","164","4","Unused Functions"
"Violation: dnacache_vouch_for_identity defined but not called.","dnacache_vouch_for_identity","172","4","Unused Functions"
"encode.c","","","",""
"Violation: sqlite_encode_binary defined but not called.","sqlite_encode_binary","123","4","Unused Functions"
"Violation: sqlite_decode_binary defined but not called.","sqlite_decode_binary","176","4","Unused Functions"
"Violation: sqlite_encode_binary defined but not called.","sqlite_encode_binary","123","4","Unused Functions"
"Violation: sqlite_decode_binary defined but not called.","sqlite_decode_binary","176","4","Unused Functions"
"fdqueue.c","","","",""
"Else If with no following Else","unschedule","117","2","Dangling Else"
"Else If with no following Else","fd_poll","204","2","Dangling Else"
"Violation: list_alarms defined but not called.","list_alarms","33","5","Unused Functions"
"Violation: list_alarms defined but not called.","list_alarms","33","5","Unused Functions"
"fifo.c","","","",""
"Violation: fifo_reset defined but not called.","fifo_reset","62","0","Unused Functions"
"Violation: fifo_unget defined but not called.","fifo_unget","134","0","Unused Functions"
"Violation: fifo_avail defined but not called.","fifo_avail","164","0","Unused Functions"
"Violation: fifo_space defined but not called.","fifo_space","177","0","Unused Functions"
"Violation: fifo_reset defined but not called.","fifo_reset","62","0","Unused Functions"
"Violation: fifo_unget defined but not called.","fifo_unget","134","0","Unused Functions"
"Violation: fifo_avail defined but not called.","fifo_avail","164","0","Unused Functions"
"Violation: fifo_space defined but not called.","fifo_space","177","0","Unused Functions"
"gateway.c","","","",""
"Violation: prepareGateway defined but not called.","prepareGateway","44","4","Unused Functions"
"Violation: gatewayReadSettings defined but not called.","gatewayReadSettings","103","4","Unused Functions"
"Violation: prepareGateway defined but not called.","prepareGateway","44","4","Unused Functions"
"Violation: gatewayReadSettings defined but not called.","gatewayReadSettings","103","4","Unused Functions"
"jni.c","","","",""
"Violation: Java_to_yp_cr_NaCl_moose defined but not called.","Java_to_yp_cr_NaCl_moose","31","23","Unused Functions"
"Violation: Java_to_yp_cr_NaCl_nativeRandomBytes defined but not called.","Java_to_yp_cr_NaCl_nativeRandomBytes","38","23","Unused Functions"
"Violation: Java_to_yp_cr_NaCl_nativeCryptoBoxKeypair defined but not called.","Java_to_yp_cr_NaCl_nativeCryptoBoxKeypair","60","23","Unused Functions"
"Violation: Java_to_yp_cr_NaCl_nativeCryptoBox defined but not called.","Java_to_yp_cr_NaCl_nativeCryptoBox","75","23","Unused Functions"
"Violation: Java_to_yp_cr_NaCl_nativeCryptoBoxOpen defined but not called.","Java_to_yp_cr_NaCl_nativeCryptoBoxOpen","115","23","Unused Functions"
